class,probability,left_x,top_y,width,height
rose2,97,222,976,31,24
rose1,54,238,0,45,9
rose2,33,238,0,45,9
rose2,95,321,885,37,22
rose3,99,379,977,28,29
rose1,97,449,-1,31,27
rose2,90,471,614,23,18
rose2,99,511,58,31,31
rose4,93,549,977,30,29
rose2,81,623,1118,30,21
rose3,97,630,887,32,29
rose1,86,832,1170,17,17
rose2,40,981,1151,28,26
rose3,33,1313,215,33,32
rose2,75,1314,216,31,30
rose4,73,1393,1165,32,37
rose3,97,1444,690,27,21
rose2,95,1479,537,21,23
rose2,32,1492,107,31,32
rose4,100,1496,1301,49,42
rose4,100,1508,885,55,52
rose3,52,1509,964,29,31
rose3,50,1524,1191,28,29
rose5,45,1559,152,45,46
rose4,72,1559,152,45,46
rose1,98,1590,367,25,27
rose4,82,1593,810,40,43
rose2,79,1626,189,26,31
rose1,93,1639,1310,24,21
rose2,61,1652,89,27,24
